1572535879.1790407,2,-178,98,198,193,32.124352331606225,-18.27122325552057
1572535879.1790407,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535879.7382379,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535879.7382379,2,-178,98,198,193,32.124352331606225,-18.27122325552057
1572535880.039491,2,-178,98,198,192,32.29166666666667,-18.27122325552057
1572535880.039491,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535880.280018,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535880.280018,2,-178,98,198,193,32.124352331606225,-18.27122325552057
1572535880.5243635,2,-178,99,200,192,32.29166666666667,-18.27122325552057
1572535880.5243635,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535880.7414184,2,-178,99,198,192,32.29166666666667,-18.27122325552057
1572535880.7414184,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535881.0086634,2,-178,98,199,193,32.124352331606225,-18.27122325552057
1572535881.0086634,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535881.2123172,2,-178,98,199,193,32.124352331606225,-18.27122325552057
1572535881.2123172,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535881.4529417,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535881.4529417,2,-178,99,199,192,32.29166666666667,-18.27122325552057
1572535881.7155094,2,-178,98,199,193,32.124352331606225,-18.27122325552057
1572535881.7155094,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535881.926716,2,-179,99,199,192,32.29166666666667,-18.36699878105277
1572535881.926716,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535882.1793654,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535882.1793654,2,-178,98,199,191,32.4607329842932,-18.27122325552057
1572535882.4255998,2,-178,98,198,193,32.124352331606225,-18.27122325552057
1572535882.4255998,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535882.6571364,2,-179,99,199,192,32.29166666666667,-18.36699878105277
1572535882.6571364,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535882.8669894,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535882.8669894,2,-178,98,198,193,32.124352331606225,-18.27122325552057
1572535883.155687,2,-178,98,198,193,32.124352331606225,-18.27122325552057
1572535883.155687,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535883.4006379,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535883.4006379,2,-178,98,198,193,32.124352331606225,-18.27122325552057
1572535883.6470737,2,-179,99,199,192,32.29166666666667,-18.36699878105277
1572535883.6470737,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535883.9077954,2,-179,99,199,192,32.29166666666667,-18.36699878105277
1572535883.9077954,1,22,98,196,193,32.124352331606225,2.3367410088134952
1572535884.1286745,2,-178,99,198,192,32.29166666666667,-18.27122325552057
1572535884.1286745,1,22,99,196,194,31.958762886597942,2.3367410088134952
1572535884.3745625,2,-178,99,198,192,32.29166666666667,-18.27122325552057
1572535884.3745625,1,22,98,196,193,32.124352331606225,2.3367410088134952
