1572264811.778884,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264811.778884,31,99,86,96,95,65.26315789473685,10.40524832365576
1572264811.778884,33,-99,87,101,98,63.26530612244899,-10.40524832365576
1572264811.778884,32,1,86,94,96,64.58333333333334,0.1062743078657994
1572264812.1556406,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264812.1556406,31,99,86,96,95,65.26315789473685,10.40524832365576
1572264812.1556406,32,1,86,94,95,65.26315789473685,0.1062743078657994
1572264812.1556406,33,-98,87,100,98,63.26530612244899,-10.302406758622741
1572264812.5173452,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264812.5173452,31,99,87,96,96,64.58333333333334,10.40524832365576
1572264812.5173452,32,1,86,94,96,64.58333333333334,0.1062743078657994
1572264812.5173452,33,-98,87,100,98,63.26530612244899,-10.302406758622741
1572264812.8329277,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264812.8329277,31,99,86,96,96,64.58333333333334,10.40524832365576
1572264812.8329277,32,1,86,94,95,65.26315789473685,0.1062743078657994
1572264812.8329277,33,-98,87,100,98,63.26530612244899,-10.302406758622741
1572264813.1577876,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264813.1577876,31,99,87,96,96,64.58333333333334,10.40524832365576
1572264813.1577876,32,1,86,94,96,64.58333333333334,0.1062743078657994
1572264813.1577876,33,-98,87,100,98,63.26530612244899,-10.302406758622741
1572264813.4976206,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264813.4976206,31,99,87,96,96,64.58333333333334,10.40524832365576
1572264813.4976206,32,1,86,94,96,64.58333333333334,0.1062743078657994
1572264813.8018715,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264813.8018715,31,99,87,96,96,64.58333333333334,10.40524832365576
1572264813.8018715,32,1,86,94,96,64.58333333333334,0.1062743078657994
1572264813.8018715,33,-98,87,100,98,63.26530612244899,-10.302406758622741
1572264814.1098592,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264814.1098592,31,99,86,96,97,63.917525773195884,10.40524832365576
1572264814.1098592,32,1,86,94,97,63.917525773195884,0.1062743078657994
1572264814.1098592,33,-99,87,101,98,63.26530612244899,-10.40524832365576
1572264814.4875646,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264814.4875646,31,99,86,96,97,63.917525773195884,10.40524832365576
1572264814.4875646,32,1,86,94,96,64.58333333333334,0.1062743078657994
1572264814.4875646,33,-99,87,101,98,63.26530612244899,-10.40524832365576
1572264814.7847395,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264814.7847395,31,99,86,96,95,65.26315789473685,10.40524832365576
1572264814.7847395,32,1,86,94,95,65.26315789473685,0.1062743078657994
1572264814.7847395,33,-98,87,100,98,63.26530612244899,-10.302406758622741
1572264815.0867722,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264815.0867722,31,99,87,96,96,64.58333333333334,10.40524832365576
1572264815.0867722,32,1,86,94,95,65.26315789473685,0.1062743078657994
1572264815.0867722,33,-99,87,101,98,63.26530612244899,-10.40524832365576
1572264815.4079747,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264815.4079747,31,99,87,96,96,64.58333333333334,10.40524832365576
1572264815.4079747,33,-99,87,101,98,63.26530612244899,-10.40524832365576
1572264815.4079747,32,1,86,94,96,64.58333333333334,0.1062743078657994
1572264815.7095234,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264815.7095234,31,99,87,96,96,64.58333333333334,10.40524832365576
1572264815.7095234,32,1,86,94,95,65.26315789473685,0.1062743078657994
1572264815.7095234,33,-98,87,100,98,63.26530612244899,-10.302406758622741
1572264816.0486958,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264816.0486958,31,99,86,96,95,65.26315789473685,10.40524832365576
1572264816.0486958,32,1,87,94,96,64.58333333333334,0.1062743078657994
1572264816.4226172,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264816.4226172,31,99,86,96,95,65.26315789473685,10.40524832365576
1572264816.4226172,32,1,86,94,95,65.26315789473685,0.1062743078657994
1572264816.4226172,33,-98,86,100,100,62.00000000000001,-10.302406758622741
1572264816.7104874,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264816.7104874,31,99,86,96,96,64.58333333333334,10.40524832365576
1572264816.7104874,32,1,86,94,96,64.58333333333334,0.1062743078657994
1572264816.7104874,33,-98,87,100,98,63.26530612244899,-10.302406758622741
1572264817.0038295,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264817.0038295,31,99,87,96,96,64.58333333333334,10.40524832365576
1572264817.0038295,33,-98,87,100,98,63.26530612244899,-10.302406758622741
1572264817.0038295,32,1,86,94,97,63.917525773195884,0.1062743078657994
1572264817.3058717,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264817.3058717,31,99,87,96,96,64.58333333333334,10.40524832365576
1572264817.3058717,32,1,86,94,97,63.917525773195884,0.1062743078657994
1572264817.3058717,33,-99,87,101,98,63.26530612244899,-10.40524832365576
1572264817.6126926,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264817.6126926,31,99,86,96,95,65.26315789473685,10.40524832365576
1572264817.6126926,32,1,86,94,96,64.58333333333334,0.1062743078657994
1572264817.6126926,33,-99,86,101,100,62.00000000000001,-10.40524832365576
1572264817.9254248,27,197,87,100,95,65.26315789473685,20.07246656737335
1572264817.9254248,31,99,87,96,96,64.58333333333334,10.40524832365576
1572264817.9254248,32,1,86,94,95,65.26315789473685,0.1062743078657994
1572264817.9254248,33,-98,87,100,98,63.26530612244899,-10.302406758622741
1572264818.2246618,27,197,87,100,95,65.26315789473685,20.07246656737335
